Ref,Val,Package,PosX,PosY,Rot,Side
"C12","1u 16V","C_0603_1608Metric",111.300000,-115.600000,-90.000000,top
"C26","22u","C_0805_2012Metric",157.900000,-71.950000,90.000000,top
"C27","10u","C_0805_2012Metric",106.050000,-69.730000,180.000000,top
"D1","LED_GRN","LED_0603_1608Metric",93.700000,-101.600000,0.000000,top
"D2","LED_GRN","LED_0603_1608Metric",93.700000,-95.200000,0.000000,top
"D3","LED_AMB","LED_0603_1608Metric",93.700000,-91.000000,0.000000,top
"D4","LED_RED","LED_0603_1608Metric",93.700000,-106.950000,0.000000,top
"D5","D_Schottky","D_SMB",105.500000,-114.825000,180.000000,top
"D7","D_Schottky","D_SMB",160.100000,-76.800000,0.000000,top
"D8","LED_WHT","LED_0603_1608Metric",93.700000,-112.050000,0.000000,top
"J1","Conn_01x03","PinHeader_1x03_P1.00mm_Vertical",124.100000,-117.900000,0.000000,top
"J2","USB_C_Receptacle_USB2.0","USB_C_Receptacle_XKB_U262-16XN-4BVC11",105.500000,-126.000000,0.000000,top
"J3","Conn_02x20_Odd_Even_Male","PinHeader_2x20_P1.27mm_Vertical_SMD",105.000000,-97.500000,0.000000,top
"J5","Conn_02x20_Odd_Even_Male","PinHeader_2x20_P1.27mm_Vertical_SMD",165.000000,-97.500000,0.000000,top
"J7","Conn_01x22_Female","Hirose_FH12-22S-0.5SH_1x22-1MP_P0.50mm_Horizontal",175.000000,-81.300000,90.000000,top
"J8","Conn_01x22_Female","Hirose_FH12-22S-0.5SH_1x22-1MP_P0.50mm_Horizontal",175.000000,-100.800000,90.000000,top
"J9","Conn_01x14_Female","Hirose_FH12-14S-0.5SH_1x14-1MP_P0.50mm_Horizontal",94.950000,-79.150000,-90.000000,top
"R1","270R","R_0402_1005Metric",93.700000,-99.850000,0.000000,top
"R2","270R","R_0402_1005Metric",93.700000,-93.400000,0.000000,top
"R3","270R","R_0402_1005Metric",93.700000,-89.200000,0.000000,top
"R4","270R","R_0402_1005Metric",93.800000,-105.300000,0.000000,top
"R20","12K","R_0402_1005Metric",111.100000,-73.250000,-90.000000,top
"R21","480","R_0402_1005Metric",93.700000,-110.350000,0.000000,top
"U1","ComputeModule4-CM4","Raspberry-Pi-4-Compute-Module",118.500000,-121.500000,0.000000,top
"U3","74LVC1G07","SOT-353_SC-70-5",97.250000,-106.250000,180.000000,top
"U5","TPD2EUSB30","Texas_DRT-3",105.500000,-120.000000,0.000000,top
"U8","TPD4EUSB30","USON-10_2.5x1.0mm_P0.5mm",99.000000,-77.400000,0.000000,top
"U9","TPD4EUSB30","USON-10_2.5x1.0mm_P0.5mm",99.000000,-80.900000,0.000000,top
"U10","RT9742GGJ5","SOT-23-5",108.137500,-73.250000,0.000000,top
